No,Komentar,Label
295,Mudah mhahan mntri2  yg baru ini membawa amanah  .dan jujur smua amin yah allah amin 😢😢😢,p
296,"Bu risma sudah ketebak,,,yg laen diluar duga'an,,saya khususnya,semoga amanah🤲🤲",p
297,Heppy endding.....,p
298,Terimakasih semoga sukses selalu dan yg paling utama ialah sejalan dgn pemimpin  dan selalu sering sebelum menjalankan tugasnya masing2tanks,p
299,"Yg saya pikirkan apakah  org pendalaman di Indonesia tau kalo ada beberapa menteri  yg d ganti 🤔 , soalnya kan jangankan tv, internet aja belum merata di pendalaman.",p
300,Yah Susi Pudjiastuti nggak jadi menteri lagi yah semoga KKP yg baru bisa amanah,n
301,Semoga amanah Aamiin,p
302,"Congratulations bu Risma, semoga di jabatan barunya bisa lebih mengembangkan bakat muring-muringnya. Karena cakupan yang lebih besar maka murin-muringnya akan lebih intens. Hehehe",p
303,"Jayalah Indonesia qu 🇮🇩🇮🇩🇮🇩
INDONESIA MAJU 💪💪🥰🥰",p
304,Bu Risma aku padamu ❤️,p
305,"laaa
ini yg ditunggu2
bu rizmaaaa
kondyaaaaang",p
306,"Lah terus Wisnutama, sebaiknya tetap jadi bagian dari kementrian Pariwisata dan Ekonomi Kreatif jadi wakil gitu jadi kolaborasi yang super sekali.😎",n
307,"Selamat bagi mentri yg terpilih,semoga bisa bekerja dengan baik terutama di jalan yg benar.Amin",p
308,Saya berharap ibu susi yang jadi menteri kelautan,n
309,"Kemensos ketar ketir nih, ada ibu risma gituh ...semangat bu risma sehat sehat ibu yah",p
310,Bu risma semoga amanah..saya meneteskan air mata bangga kagem njenengan bu. Sehat selalu bu risma.,p
311,"Menag dipegang TOKOH NU..

Mantappp",p
312,Mafia bansos dan BLT pusing nih ga bisa markap dana lagi 🤣🤣🤣,n
313,Selamat datang buk risma untuk semua rakyat indonesia dibidang sosial semoga pekerjaan ibu baik hingga banyak masyarakat yg merasakan kesungguhan pekerjaan ibuk risma,p
314,"Bravo bu Risma , warga Surabaya amat bangga padamu semangat bu",p
315,ibu risma rendah hati banget. Mau duduk juga segan2 kali gtu..salut...!!!😇,p
316,"Semoga menteri yg baru bisa mengemban tugasnya dengan menjadikan Indonesia lebih baik. 
Selamat untuk para menteri2 yg baru 👏👏",p
317,"IBU RISMAAAAAAAA🥰🥰 AKU PADAMU BU, AYO BERANTASS KORUPSI",p
318,"Mantapss 🙏
Tinggal tunggu Mba Najwa Sebagai Mentri 😊",p
319,"Gus yaqut.. Mantull.. Jooss.. 
Aku Mewakili warga nahdliyin ikut bangga.. 💪👍😍",p
320,Yeeessssss Bu Risma jadi Mensos.mantap....mantap mantap.....,p
321,Merinding waktu bu risma dipanggil sebagai mensos,p
322,mantap bu rismaaaa....,p
323,"Luar biasa Ibu Risma dari Surabaya ke Istana 😎semangat,selamat hari ibu 🙏",p
324,"Harus bu susi yg jadi mentri KKP, trus menpora juga reshuffle, menko maritim juga reshuffle, menkoinfo juga reshufflw pk",n
325,"Jadi terharu bu risma jd mensos, semoga di tangan beliau apa yg jd hak rakyat tersalurkan dg tepat, semangat bu risma, aq yakin  n percaya beliau mampu...",p
326,"Cuma nunggu ahok dijadikan mentri..... 
Kelar satu departemen🤔👍🏻💪🏻",n
327,Selamat pk Sandi U ❤️❤️❤️❤️,p
328,"Amiiin3x bu risma mensos,.setuju banget,.,.
Tapi saya g setuju sama sandiaga uno ,.",p
329,Saat ini yang pling berat bebanya MENTEEI KESEHATAN dan MENTERI SOSIAL smoga sukses sllu,p
330,"Bu Risma yesss
Alhamdulilah..akhirNyaaaa
Saya cah jawa tengah tapi bangga sama ibuknya arek2 suroboyo..🙏🙏",p
331,Allhamdulilah ya Allah,p
332,HUKUM MATIMU MANA PAK JOKO? APA CUMA WACANA BIAR KELIATAN WAH DEPAN RAKYAT YG LAGI SENGSARA?,n
333,"Semoga Bu Risma dikuatkan, hati² bu di kantor yang baru banyak demit nya",p
334,"MANTAPS . 
PAK FADLY ZON TDK DI RESUFFLE MASIH TETAP MENJADI MENTARI PENERANGAN PETAMBURAN . 😂😂😂😂😂😂😂😂😂",p
335,"Selamat untuk bu risma, semoga bermanfaat bagi masyarakat Indonesia.",p
336,Bos GOJEK blm kena ya?!,n
337,Bu Risma bapakku cuma dapat BLT 2 kali.padahal udah tua.yang masih muda muda dapat tiap bulan.ngasinan Rejosari semin gunung kidul,n
338,Loh knp menteri terawan di ganti.?,n
339,"Selamat krn sdh trpilih mnjadi mentri.,Semoga amanah untk bpk ibu skalian untk mewujudkan impin kt semua menjadi indonesia yg kuat,maju,dan trpandang dimata dunia amin",p
340,"Yah bu susi gk jadi menteri lgi,tpi syukur ada bu Risma yg jdi menteri, semoga menteri yg baru ini, bisa menjalani tugas dgn baik dan amanah",p
341,Alham dulillah bu risma jdi mentri mensos.mga bu risma menjalani tanggung jawab yg baik.seperti surabaya.,p
342,"Sangat bahagia dan terharu bgtu tau bu Risma jdi mensos
Tpi bgtu denger nma sandi jd gmn gtu hmmm",p
343,Terus Fadli Zon jadi Menteri apa?,n
344,Alhamdulillah setuju semoga amanah,p
345,"Baru Kali Ini Oposisi Dirangkul
Mantap Pakde",n
346,Alkhamdulillah pk sandi menteri parwis,p
347,Alhamdulilah akhirnya Fadli Zonk  dan Rocky Garong terpilih jd  menteri lambe nyinyir  🤣🤣🤣,p
348,Yang berharap Bu Susi kembali jadi Menteri kelautan&Perikanan tapi trnyta g jadi siapa aj🥺,p
349,Hebat ya.... Ga perduli kubu mana... Semenjak itu sangat berguna bagi bangsa dan negara why not?,p
350,Ledeng Francis leonis jgn matikan ledeng bukit duri tanjakan mohon tlng sampaikan ibu Mega Kel Soen supir bungnkarno,n
351,Drama tanah air 🤣 beli 01 bonus 02 🤣🤣🤣 jok jok,n
352,Semoga menteri yg baru ini bisa membawa perubahan yg lbh baik kedepannya untuk negeri ini..,p
353,Selamat bertugas mudah2an amanah dan jadi ladang pahala yg terus menerus sampai hari akhir kelak,p
354,"Bravo bu RISMA, PRESTASI IBU SUDAH TERBUKTI NYATA. SELAMAT BEKERJA.",p
355,Semoga ibu risma sehat dan bisa menjalankan amanah dgn sebaik baiknya.....dan buat mentri baru yg lain semoga iman nya kuat tidak tergoda untuk korupsi.,p
356,Mantap semoga PARA mentri yg BARU slalu amanah mengemban tugas baru dr pemerintah,p
357,"GP Ansor akhirnya dapat jatah kursi mentri jua, gk sia-sia selama ini dibelakang barisan.",p
358,Alhamdulillah....semoga semua bisa memberikan perubahan dan memberikan sumbangsih martabat utk NKRI....salam seduluran,p
359,Hebat sih.😁bu risma sampai skrg namanya tinggi dan anti korup.smoga lancar,p
360,"yang berani mencoba2 bu risma dan gus yaqut monggo, kita semua tau background beliau2 dan banyak sekali rakyat dibelakangnya",p
361,Galfok sm anggreknya😂😂😂,n
362,Wah apa ini lawan pilkada masuk jadi menteri. Semiga kedepan makin bagus,n
363,"Bu risma punya banyak PR ya buu, semangat bu rismaa!!!! Kami percayakan kepada bu risma!! Wanita itu lebih cerewet lebih teliti, pasti akan lebih baik!!",p
364,Alhamdulillah,p
365,Setuju alhamdulillah semog,p
366,"Kelompok yg selalu ingin Indonesia bubar, malah terbakar lihat ini dan mereka malah bubar sendiri.. 😂",n
367,Irma Suryani kebakaran 🤣,n
368,"Semangat bu Rismaaa,,, sarangheyoooo,, smg makin membaik",p
369,Kalo kabinet.nya masih dari rezim ga bakalan bener lagi sebab rezim yang lain blm ada jatah korupsi,n
370,"Papa onlen, semangat utk majukan pariwisata dan ekonomi kreatif.",p
371,Semangat utk INDONESIA 🇮🇩 🙏,p
372,setujuu ..... semua komponen bangsa dan putra-putri terbaik bangsa sama2 membangun indonesia .....,p
373,Alhamdulillah bu Risma jadi.menteri sosial Amin ya Allah semoga sukses dan amanah,p
374,Siap saja mentrinya yang penting..bekerja dengan baik dan tanggung jawab,p
375,Semoga amanah dan bisa menjadikan Indonesia lebih baik lagi,p
376,"Mentri kelautan kenapa bukan ibu susi pak jok,lebih berkompeten.😔",n
377,Facrul Gabut trnyt kena reshuffle 😂,n
378,Mantap Bu Risma👍,p
379,"Buat apa pemilu! buat apa bikin pecah rakyat!
Kalu ujung2nya gabung ,,,
Demokrasi apa sih yg dianut indonesia sekarang?",n
380,Alhamdulillah Bu Risma Mensos....,p
381,Alhmdulillah... Ayu bundha maju terus... Kmi selalu mendukungmu.,p
382,"selamat pak sandi walau dlm pilpres aku ngal memilihmu tp aku dukung, kebijak, an belio,  aminn",p
383,"Mantap ada Ibu Risma,psti tikus2 kotor udh mulai takut😝",p
384,"Bu Risma jgn jadi pion di dlm catur ya, jadilah ibu yg sy slalu banggakan...!!",p
385,Jangan lupa soal tas bansos covid kemensos dan pelanggaran HAM berat,n
386,"Alhamdulillah,,,saya sbagai warga surabaya sngat bangga ibuk risma menjadi mensos,selamat ya bu,,dgn jabatan barunya",p
387,"Bu risma pernah bilang kalau ingin istirahat terlebih dahulu, tpi saya  yakin hati beliau juga tidak tega jika diluar sana masih ada rakyat yang tidak mendapatkan apa yang menjadi haknya,, cocok untuk ibu Risma Menteri Sosial",p
388,"Ketika jabatan menjadi beban, ada keseriusan dalam dirinya.. semoga beban tersebut menjadi amal jariyah untuk bapak dan ibu yg terpilih",p
389,Semoga amanah jangan  meleset dari sumpah mu,p
390,Ya Bu Susi TDK ad ya😭😭,n
391,Mantap majulah indonesiaku!,p
392,"PAK WAPRES BARU KELIATAN PAK, KIRAIN SAKIT 😊😊. SEMOGA MENTRI2 BARU INI BISA MEMBAWA KEMENTRIANNYA MASING2 JD LEBIH BAIK. 🇲🇨🇲🇨",n
393,"Tetap kawal hukuman mati tersangka korupsi bansos, jangan sampai lengah",p
394,Semoga amanah,p
395,"Mantabz , Reshuffles pro pasar !",p
396,"Mantaaps, semog amanah bapak ibu mentri baru...",p
397,Ciyajuj wama zuz jadi mentri waaaah dapat hadiah,n
398,Yahh kirain fadli zon jadi mentri kwkwkwk,n
399,Semoga semua yg di pilih jadi menteri bisa amanah dan membawa keberkahan bagi Bangsa Indonesia,p
400,Pk persiden. Jangan lupa Ganti semua orang2 yg di KPK...ganti KPK segera,p
401,Kelasnya SANDI hanyalah seorang  Menteri...gimana bro Sandi ?. Memang muzuh sejsti 2024 hanyalah Anies - Gatot.,p
402,sy warga Jatim Bangga Ibu Risma di percaya sbgai MeNsos...smaGa Ibu RisMa SeHat slalu..,p
403,Smg skss trs bu risma amin,p
404,"Anak mau diperiksa KPK, 
Ngadain perombakan Mentri udah terlambat jal...
Kasihan Sandiaga Uno",n
405,"👍🏻👍🏻👍🏻👍🏻bu risma, bang sandy, smoga amanah",p
406,yakut qolil jdi menag bakal ngga beda jauh sama sebelumnya.,n
407,"Indonesia damai, smoga adanya mentri2 baru dan berhati2lah korupsi lbih pintar smoga tk ada luang untuk korupsi",p
408,Mentri KKP knp bukan Bu Susi lagi pak 😭,n
409,Hah Yaqut,n
410,waalaikum salam pak de,p
411,Tolong kabinet bersih Daripada kuropsi,p
412,Kenapa gak bu susi lagi😭,n
413,Muddah mudahan kaga sallah pillih lagi .bener bener Amanaah.,p
414,"Selamat GUS YAKUT..  
Selamat BU RISMA...👍👍👍",p
415,Selamat pak Sandiaga Uno semoga amanah dalam mengemban tugas negara.,p
416,Untuk menteri kesehatan  baru SMG bisa cepat menangani wabah ini insyaallah bisa.,p
417,"Cuman mensos yg bagus sekarang reshufle nya, ganti menteri terus, gimana ga banyak yg korup, yg menteri sebelum nya udah kenyang, yg menteri baru dikasih makan",n
418,"widih sekarang pak sandi yg jadi mentri, sekarang kubu sebelah cuman ngarepin si wan aibon aja lagi, itu juga dia gak bisa berbuat banyak si wan aibon😂",p
419,"Semoga tidak makan uang rakyat,,,dan dapat menjadi menteri yg bisa membuat Indonesia menjadi lebih baik",p
420,"Saya senang sekali jdi juga Bu Risma jdi Mentri , ibu Risma emang ok la.",p
421,BU RISMA Q RENG JAWA TIMUR MENDUKUNG IBU RISMA....BERSAMA IBU RISMA BRANTAS KORUPSI DI DINSOS.....!!!!,p
422,Aku yakin kutukan gus dur atas kementrian sosial nggk akan berlaku untuk Bu. Risma 💪 🌹🌹🌹🌹👍,p
423,"Alhamdulillah
Terharu bu risma
Barokalloh",p
424,politik yang unik. lawan pemilu jadi menteri semua,p
425,"BU RISMA SEMANGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAT BEKERJA , ALKHAMDULILLAH MENTRI SOSIAL ,",p
426,😂😂,n
427,Saya pingin pak mayjen dudung jadi menteri pertahanan beliyau orang sangat bijak peminpin pakai nurani negara butuh seperti beliyau..,n
428,Hajar bu Risma..selamatkn hak2 org kecil di kmensos dari org2 yg rakus😂😂😂 smoga ibu Risma sllu shat dn smangat bkerjanya❤❤❤,p
429,"Buuuu risssmmaaaaaa😊😍,jadi menteri mensos?!",n
430,"agak kecewa kr bususi tdk termasuk didalam ya, namun yg paling menggembirakan adanya bu risma Dan Gus yaqut",n
431,alhamdulillah menteri  agamanya di ganti semoga kedepannya indonesia akan tentram dan damai,p
432,congratulation    to ibu risma dan pak sandi aga uno  .selamat kerja2 dan kerja,p
433,Semoga Bu Risma....bisa mengemban amanah dg sebaik baiknya,p
434,"Lihat berita di youtube loding aja, saya rugi berkejaran dengan waktu",n
435,Alhamdulillah bu Risma,p
436,Kasian terawan dan menag nasution. Kena resuffle. 😁,n
437,"Selalu sehat Bu Risma, bersabar dalam mengemban tugas disana, saya di Surabaya selalu mendukungmu selalu Bu",p
438,"Doa ku dari bali untuk ibu risma.
Semangat ya ibu. Sang hiyang widi menyertaimu.",p
439,"Senang melihatnya...
Doa kami utk nkri",p
440,Semoga amanh,p
441,Bismilah smg smua amanah amiinnn,p
442,Waaaaah .. ini bu risMa Joossssssss gandOsssss .. haJar aJa bu risMa kaLo rekan kerJanya LeMOt .. toooooop .. dech,p
443,Hahahahah yaqut😂😂😂😅😅,n
444,Semoga pergantian kabinet jkw memberi arti bagi perbaikan segala lini kehidupan berbangsa dan bernegara.,p
445,"Saya Pemuda Ansor Ikut Bangga.. 
Semoga ini Bukan Keputusan Yg Blunder.. 
Tetap Semangat Mengemban Amanah.. 
Amin.",p
446,"Mudah mudahan bisa amanah,, sukses slalu untuk semua",p
447,Alhamdulillah mantab Bu bangga saya lahir di sby putat jaya semoga amanah,p
448,"Wkwkwkwk Gonta ganti menteri doang kerjanya 
Ini yg disebut Indonesia maju",n
449,Purn Jendral Agus Terawan kurang bagus kah! Makanya dipecat?,n
450,Semoga suatu saat saya pun bisa menjadi menteri dalam negeri,p
451,"menteri kkp klo bukan bu susi rasanya kurang klop..
pndpt sya pribadi",n
452,"Slmat bu risma smoga Amanah 
Amiin🙏🙏",p
453,Love you bu Risma.. !! Proud of you,p
454,Bro Tama kenapa ya kena reshuffle?,n
455,Smga  mentri2  yg bpk pilih  adalah orang2  yg Amanah  untuk  seluruh rakyat indonesia ...aamiin ya robbal allamiin,p
456,mentri perjombloan ada gak sih.tolong dong urusin saya dan orang yang senasib sama saya 😭,n
457,Selamat ibu Risma ku semoga semakin sucses sehat selalu aamiin,p
458,"Terapkan aja , hukuman mati bagi koruptor 
Tdk usah Gonta ganti menteri",n
459,Untuk kemenkes nya engga salah nih???,n
460,For ibu Risma for sandi 👏👏👏👏,p
461,masih krg lengkap.bu susi kenapa masuk jajaran mentri baru.ya muda2han semakin maju dan jyaya indonesiaku.amiiin,n
462,"Selamat kpd Bapak n Ibu Menteri yg baru, semoga Amanah dlm mengemban tugas Memajukan 🇮🇩 🇮🇩🇮🇩💪💪💪🙏",p
463,"mantab,,,smg  amanah..aamiin..",p
464,KORUPSI MUSUH BESAR INDONESIA🤗,p
465,Hore menteri baru. Apakah bs maju negara ini. Uda sisa waktu 4thn. Uda 6thn jln di tempat negri ini.,p
466,"kagak ada yg baru, dah terbayang dari awal, not news",n
467,"Bu Risma , bpk slalahudinuno top , semoga tetep di garis lurus, yg lain pun semoga bisa lebih solit.",p
468,"Sehat selalu mak e..hiraukan cocot yg busuk2..mantab djiwa ciamik..
Saya warga milenial surabaya bangga mak e masuk kabinet.",p
469,Semoga lebih baik Aamiin,p
470,The next hokage risma=sarada,p
471,Harapan saya semoga amanah kreatif inofatif .agar bisa  menjawab semua persoalan yg ada .🤚👍,p
472,Ketua gp ansor allhamdulilah semoga amanag adil dalam bekerja 💚,p
473,Senang nya dengar ibu di sebut namax...,p
474,Jaketnya keren tuh untuk jalan jalan tpi bukan utk acara kenegaraan..menteri milenial kali ya🙄,p
475,"Yg di angkat Mentri 6 orang yg jadi harapan Bu Risma,",p
476,"Coba bayangkan
Bu Risma featuring Pak Ahok
Bayangkan aja dulu",p
477,Kaget saya liat berita ini... bu Risma rek jd Mensos... moga amanah ya buk.. jgn korupsi,p
478,Menkes nya bukan orang kesehatan/dokter.(bukan orang yg dibidang nya),n
479,Selagi ada Luhut di kementrianIndonesia tak akan berubah,n
480,Bu Rismaa saya di jkt aja ngaku nih saya fans ibu.. 🤗 sehat slalu ya bu 🙏,p
481,"Yang Menarik Buat Saya Adalah Bu Risma, Selamat Bekerja Bu & Saya Yakin Rakyat Miskin Makin Sejahtera Di Tangan Ibu !!!",p
482,"Ibu risma . Oke dan aku percaya .

pak uno dan 4 lagi gak percaya aku . Tapi semoga bapak gak salah pilih ",p
483,Semoga NKRI smakin Cepat MAJU,p
484,NAACH INI DIA .DUA ORANG YG SANGAT COCOK UTK MENJADI MENTRI .,p
485,Luar biasa ibu risma jadi menteri  semoga menteri indonesia makin baik kedepanya  kerja dan kerja pak menteri  ibu menteri,p
486,"Alhamdulillah bu risma ibukene arek suroboyo jadi mentri. Dari surabaya untuk indonesia, sukses selalu bu risma. . . bravo. . .",p
487,"Terus mengkobarkan Indonesia maju,tp malah makin ketinggalan",p
488,"Tepat hari ibu ... Bu Risma, tunjukkan  ... Ibu pasti bisaaaa ... kami butuh orang seperti Ibu ...",p
489,agak kaget juga wishnutama kena reshuffle :(,n
490,"Haaa😹😹😹😹😹😹 partai sebelah kan gk ikut berjuang timses pemilu ,,,,, kok malah di beri kedudukan 😸😸😸😸  apa gk orang pinter lagi di indonesia selain orang2 itu 😸😸😸",n
491,Menteri kelautan apa tetap dari partai gerindra ya ? Serius nanya,p
492,Alhamdullah.. Bu risma jd mensos kipas korupsi d mensos,p
493,Alhamdulillah,p
494,"Mantap nyoblos 1 get 2. Ga salah ikut nyoblos 2019 kemarin, lumayan dapat 2, top dah",p
495,"Bg sandi favoritku. 👍🙏Gpp bang abg jd mentri dulu dah,  bikin indonesia lebih kreatif dan maju pesat bang melalui ekonomi kerakyatan dan industri kreatif. Amanah ya bg🙏👍👏👏",p
496,"Bu ojok lali arek2 nge..dan sukses to smua x,amin",p
497,Sandiaga Uno... Dr Wapres turun jadi Menteri,p
498,Andalanku masuk semua 😍,p
499,"Mantap buk risma,.buk risma yg kita kenal seorang yg berjiwa sosial tinggi,.jd cocok d mentri sosial",p
500,Alhamdulilah semoga negara ini lebih maju.amin,p
501,"Semangat bu risma.wah,pak sandi jadi menteri akirnya,selamat pak",p
502,"Mau ganti mentri, gak luar biasaudah gak respect sama oak lurah",n
503,Maju ibu risma pasti bisa ..semangat ibu risma maju terus..⭐⭐⭐,p
504,Selamat Bu Risma semoga Amanah😍🙏,p
505,Gk perlu dumumkan urus pelanggaran ham 6nyawa melayanh,n
506,"Smoga Bu Risma ttp mnjadi Bu Risma yg dulu,jgn smpai ikut2an yg tega sama rakyat,doa kami rakyat jw timur untuk ibu,smoga ibu sehat sll,amiiin",p
507,"Siapa yang kecewa mentri kelautan bukan bu  susi, ayo komentar jangan cuma diem biar gak dikira wapres..",n
508,"Congratulations 🎊 
Ibu Risma dan kawan kawan nya",p
509,"Ibu risma, we love you",p
510,Mantap bu Risma...👍🏻👍🏻👍🏻 basmi tuh para mangsa bansos...🙏,p
511,Selamat utk bpk dan ibu mentri yg baru semoga beliau orang'' yg beranat beriman dan tanggung jwb utk membantu memimpin bangsa indonesia maju,p
512,Aku sangat percaya sm bu risma jd mensos jiwa sosialnya sngt tinggi,p
513,alhamdulillah,p
514,Alhamdulillah. semoga Bapak Sandiaga Uno dan Bu Risma bisa amanah di jabatan barunya,p
515,Wakil menteri pertahanan ah gerindra lagi ah.. sudahlah,n
516,Resfel mulu pak lurah ni.. 🤗🤗,n
517,"sak karepmu pk ,
paling klo udh pada di atas jg lupa sm bawahan,  kita sembagae rakyat cm mau bukti, mentri yg akan dtg bagaemana hasil nya,",n
518,Bu susi kenapa gak dikembalikan pak 😭,p
519,Jujur memang figur2 ini lebih meyakinkan daripada yg sebelumnya jika melihat track record mereka,p
520,"INNALILLAAAHI WA INNA ILAIHI ROJI'UUUUN , Kenapa ga UAS, UAH, AaGym Atau YusufMangsur gitu 🤣",n
521,Bu risma akan membawa maju bangsa sehat selalau bu risma,p
522,Bang Sandi memetik buah dari dukungan nya pada Mas Bobby Nasution,p
523,reshuffle kali ini semoga indonesia tidak tambah amburadul,p
524,"Mantap ketua GP ANSOR jadi Menag, titip tuk bersihkan intoleransi dan radikalisme ....",p
525,Ayo bang sandiaga uno tunjukan loyal kepemerintah,p
526,Smoga Beliu Beliu Para Calon Menteri menjadi menteri yg amanah bisa memajukan pembangunan di bidangngnya untuk Indonesia yg kita cintai ini...AAMIIIN.,p
527,Bu Risma semoga amanah ya Bu..tugas berat menanti mu...,p
528,Bu risma cocok jd mensos.smoga amanah.hati2 bu,p
529,"Bismillah, semoga amanah semua.",p
530,Hehe.... Kirain Fadly Son masuk dalam jajaran menteri yg baru diresavel......,p
531,"Mantap, kalau Bu Risma,  hayo Bu lengserkan yg korupsi mensos, sikap mavia di dalamnya",p
532,Mantap jos.,p
533,Bu risma jadi mensos hanya sementara karena pada saatnya nanti dia akan di utus pdip jadi cagub jakarta.,p
534,"masih ada yang ga paham politik?
1.politik itu cair...skrng musuh besok bisa koalisi..cuma sebatas kepentingan",p
535,Yg rakyat tuntut lengsernya rezim terkorup lagi dholim bkn reshufel para menteri.🤣😁🤣,p
536,Politik politik dl jd lawan skrng kawan... Biar mencari dukungan rakyat,p
537,Yang penting prosedur nya sesuai,p
538,Moga yg di gnti jngn da dendam,p
539,Selamat bu Risma. Ubah kemensos spt Surabaya yg indah!,p
540,😀 kabinet tambah mantap 👍🏻👍🏻👍🏻👍🏻,p
541,Bu risma🥰🥰🥰 sehat trus bu...,p
542,Ni bpak nya gibran yg maling dana BANSOS yak ?,p
543,salfok sama jaket biru menteri baru 😀,p
544,Pelan pelan Indonesia sudah di isi orang orang berkompeten semoga amanah pak bu,p
545,KEMENTRIAN SOSIAL SIAP SIAP OJO MACEM2...,p
546,Ayo kita lihat lagi aja menteri  yg baru ini semoga kinerjanya baik  dn tegas ga mau di sagak sogok uang haram  kita lihat aja ok,p
547,Selamat buat pak Sandi menjadi menteri semoga sehat selalu dan diberi umur panjang,p
548,Bu risma....okelah👍,p
549,Tolong ojok mbok larani ibuk q he wong JKT,p
550,semoga indonesia mjd lebih baik dan adil untuk seluruh rakyat indonesia tanpa terkecuali,p
551,"Fix, mentri idaman sandiaga uni  dan ibu risma",p
552,Selamat 6 Menteri Baru,p
553,Bu Susi ada apa kok gx dipanggil lagi jadi mentri kkp,n
554,"Yg diatas uda happy bagi2 jabatan.
Yg dibawah masih sibuk ributin yg ga jelas. Kapan kalian sadarnya 😓. Kerjaa cari duit woiii.... jgn rusuh mulu.",p
555,Hmmmmmm,n
556,"JOSH PAKDE ... DARI JAWA UNTUK INDONESIA CINTA DAMAI 
SALAM NKRI",p
557,Waalaikumussalam.wr.wb.,p
558,Pilihannya mmg mantap pak wkwkwkwk,p
559,Sandiaga keren. Lihat mukanya aja jd semangat😁😁😁😁. Apa lagi emak2 yg lihat,p
560,Binsar panjaitan di ganti jgk tu pak.,n
561,Joos mantap...,p
562,Selamat Ibu Risma...semoga amanah dengan tanggung-jawabnya...Amin🙏,p
563,Bususi ku mana pakde...  Kok ndak di sebut 😭😭,n
564,Mantap Bu risma Mensos jaga amanah 🤲👌👍,p
565,"Semoga beliau2 bisa mengemban tugas dengan jujur demi rakyat dan bangsa Indonesia,,",p
566,Si terawan diganti 😂,p
567,Mantap semoga membawa perubahan untuk indonesia,p
568,Wah wisnu tama dirombak ya,p
569,Lihat saja kedepannya.. yg baru saja di pecat pasti akan menjadi penyinyir pemerintahh🤣🤣😂😂,n
570,Semoga bu risma bisa berantas semua tikus tikus yg suka korupsi,p
571,wkwk lucu,n
572,"Alhamdulillah 
Semoga Amanah ....",p
573,Mantap,p
574,Mantap,p
575,Mantap,p
576,Mantap,p
577,"wajah mu teramat sangat lelah pak, semoga semua ini jadi amal kebaikan bapak kelak",p
578,Mantap,p
579,Mantap,p
580,Fahrurozi juga kena pecat hahaha... Alhamdulillah,p
581,"Mbah akhirnya kelihatan juga, udh lama gak nongol 😛",p
582,Nitip negeri ini ya bapak bapak dan ibu...  Semoga AMANAH,p
583,"Horeeee.....damai....damaiiii.......
Hilangkan kesenjangan dan kemiskinan scr bersama",p
584,Pilihan tepat👍,p
585,"Menteri Kesehatan backgroundnya di bank dan bumn. Hmmm, covid semakin dikomersialisasikan nih kyknya",n
586,Alhamdulillah....bu Risma,p
587,Kalau nantinya menterinya korupsi lagi bagaimana?,n
588,Bu risma 💪💪💪,p
589,"Tak kira menkes diberi kesempatan kepada dokter Tirta, selain mengedukasi beliau jg bisa kerja, kerja, kerja",p
590,Ibu risma...selamat.. wanita yg tepat jadi menteri sosial...sy yakin...karena izin ALLAH...semoga selalu dlm lindunga NYA...Amin...,p
591,Semoga Amanah dalam menjalankan tugas. Aamiin YRA,p
592,Putra terbaik Rembang Jawa Tengah anak kyai besar Alm. Cholil Bisri (kakak Gus Mus) dan kader terbaik muda NU.. selamat bertugas Pak Ketum Gus Yaqut 🙏,p
593,Yang kuat ya bu Risma....jangan nangis trus ya,p
594,"Setuju bu risma jadi mensoso... Bang sandiaga uno... Slmat ya beegabung  di pemerintahan.  Salam okoc.
Dan slamat kepada bapak menteri yg lain",p
595,Smoga Indonesia makin aman dan maju,p
596,Moncer semua ini.. mantaplah semoga amanah,p
597,Moga amanah mentri2 baru nya,p
598,Semoga semuanya yg di beri amanat bisa menjalankan nya dengan baik dan tranparan,p
599,BAPAK JOKOWIDODO BENAR BENAR HEBAT..SEMOGA SEHAT SELALU AMIN,p
600,Wah yg kena resufle bisa² jadi pengikut provokotor nihhhh,n
601,Jaketnya birunya ada di shopee nggak. Kok keren yaa.,p
602,Yang tergantikan semoga tidak masuk ke dalam barisan sakit hati,p
603,Hebat dan mantap,p
604,Semoga dengan mentri baru tidak ada pembunuh yg berkeliaran ...,p
605,pilihan yang tepat. selamat bekerja. mdh mdhan bisa bekerja sama untuk memajukan indonesia. aminn ya rab..,p
606,Semuanya keren dan menteri Agamanya mantap semoga amanah 👍👍👍🤲,p
607,Alhamdulillah menkes di ganti juga,p
608,Selamat utk ibu risma...semoga sukses ..keraskanlah suaramu untuk NKRI tercinta ini...salam hormat dari saya utk ibu risma..,p
609,Alhamdulilahh akhirnya yang pada kangen sama bpk wakil president RI bisa sedikit terobatti. Walaupaun terlihat samar samar karna Pakai marker+facesail,p
610,Semoga Mentri Baru yg akan Menggantikan Nya Bekerja dgn Amanah.,p
611,"Ibu Susi..
Hiksss..",p
612,Mudah2an tiap tahun ga ada resufle...hidup Indonesia maju..,p
613,Padahal pengen bu susi yg jadi menteri KKP,p
614,"rombak terus,makin dirombak makin panik makin runyam,bila niat belum bersih jujur benar dan adil,kabinet nya tetap mundur",n
615,Santri NU maju terus... Alhamdulillah,p
616,Jadi pingin nangis denger buk trirismaharani  kejakarta,p
617,mantapp,p
618,"Ya rabb, saya kok trenyuh terharu tho.....
sehat selalu pak President...",p
